Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00      13             bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) <cycle 3> [50]
                0.00    0.00       4+4           __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) <cycle 3> [91]
                0.00    0.00       5             std::_Deque_iterator<int, int&, int*>::_Deque_iterator() <cycle 3> [86]
                0.00    0.00       5             std::deque<int, std::allocator<int> >::deque() <cycle 3> [88]
                0.00    0.00       5             std::stack<int, std::deque<int, std::allocator<int> > >::empty() const <cycle 3> [79]
                0.00    0.00       4             std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() <cycle 3> [93]
                0.00    0.00       3             std::vector<bool, std::allocator<bool> >::end() const <cycle 3> [96]
                0.00    0.00       3             std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::deallocate(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, unsigned long) <cycle 3> [98]
                0.00    0.00       2             std::allocator<unsigned long>::~allocator() <cycle 3> [105]
                0.00    0.00       2             std::_Deque_iterator<int, int&, int*>::operator--() <cycle 3> [111]
                0.00    0.00       1             std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&) <cycle 3> [125]
                0.00    0.00       1             std::_Deque_base<int, std::allocator<int> >::~_Deque_base() <cycle 3> [126]
-----------------------------------------------
                                   1             std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset() <cycle 3> [39]
                                   2             std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long) <cycle 3> [25]
                                   2             std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool) <cycle 3> [24]
                                  10             std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*) <cycle 3> [33]
                                  15             unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) <cycle 3> [47]
                                  17             std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl() <cycle 3> [37]
                0.00    0.00       1/296         __gnu_cxx::new_allocator<unsigned long>::new_allocator() [161]
                0.00    0.00       1/296         std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data() [128]
                0.00    0.00       5/296         std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*) [188]
                0.00    0.00       6/296         void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*) [59]
                0.00    0.00      10/296         std::allocator<std::vector<int, std::allocator<int> > >::allocator(std::allocator<std::vector<int, std::allocator<int> > > const&) [181]
                0.00    0.00      10/296         std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::_Vector_impl(std::allocator<std::vector<int, std::allocator<int> > > const&) [195]
                0.00    0.00      10/296         std::deque<int, std::allocator<int> >::size() const [172]
                0.00    0.00      15/296         std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_create_storage(unsigned long) [197]
                0.00    0.00      15/296         std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long) [44]
[11]     0.0    0.00    0.00     120         std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool) <cycle 3> [11]
                0.00    0.00      10/10          std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [57]
                0.00    0.00      10/67          std::_Bit_iterator_base::_M_incr(long) [14]
                0.00    0.00       5/20          std::_Deque_base<int, std::allocator<int> >::_M_allocate_node() [36]
                                  21             std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool) <cycle 3> [24]
                                  16             std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&) <cycle 3> [40]
                                  10             std::vector<bool, std::allocator<bool> >::size() const <cycle 3> [42]
                                  10             std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const <cycle 3> [12]
-----------------------------------------------
